STATION,NAME,DATE,MLY-CLDD-BASE45,MLY-CLDD-BASE50,MLY-CLDD-BASE55,MLY-CLDD-BASE57,MLY-CLDD-BASE60,MLY-CLDD-BASE70,MLY-CLDD-BASE72,MLY-CLDD-NORMAL,MLY-DUTR-NORMAL,MLY-DUTR-STDDEV,MLY-GRDD-BASE40,MLY-GRDD-BASE45,MLY-GRDD-BASE50,MLY-GRDD-BASE55,MLY-GRDD-BASE57,MLY-GRDD-BASE60,MLY-GRDD-BASE65,MLY-GRDD-BASE70,MLY-GRDD-BASE72,MLY-GRDD-TB4886,MLY-GRDD-TB5086,MLY-HTDD-BASE40,MLY-HTDD-BASE45,MLY-HTDD-BASE50,MLY-HTDD-BASE55,MLY-HTDD-BASE57,MLY-HTDD-BASE60,MLY-HTDD-NORMAL,MLY-PRCP-25PCTL,MLY-PRCP-50PCTL,MLY-PRCP-75PCTL,MLY-PRCP-AVGNDS-GE001HI,MLY-PRCP-AVGNDS-GE010HI,MLY-PRCP-AVGNDS-GE050HI,MLY-PRCP-AVGNDS-GE100HI,MLY-PRCP-NORMAL,MLY-SNOW-25PCTL,MLY-SNOW-50PCTL,MLY-SNOW-75PCTL,MLY-SNOW-AVGNDS-GE001TI,MLY-SNOW-AVGNDS-GE010TI,MLY-SNOW-AVGNDS-GE030TI,MLY-SNOW-AVGNDS-GE050TI,MLY-SNOW-AVGNDS-GE100TI,MLY-SNOW-NORMAL,MLY-SNWD-AVGNDS-GE001WI,MLY-SNWD-AVGNDS-GE003WI,MLY-SNWD-AVGNDS-GE005WI,MLY-SNWD-AVGNDS-GE010WI,MLY-TAVG-NORMAL,MLY-TAVG-STDDEV,MLY-TMAX-AVGNDS-GRTH040,MLY-TMAX-AVGNDS-GRTH050,MLY-TMAX-AVGNDS-GRTH060,MLY-TMAX-AVGNDS-GRTH070,MLY-TMAX-AVGNDS-GRTH080,MLY-TMAX-AVGNDS-GRTH090,MLY-TMAX-AVGNDS-GRTH100,MLY-TMAX-AVGNDS-LSTH032,MLY-TMAX-NORMAL,MLY-TMAX-STDDEV,MLY-TMIN-AVGNDS-LSTH000,MLY-TMIN-AVGNDS-LSTH010,MLY-TMIN-AVGNDS-LSTH020,MLY-TMIN-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH040,MLY-TMIN-AVGNDS-LSTH050,MLY-TMIN-AVGNDS-LSTH060,MLY-TMIN-AVGNDS-LSTH070,MLY-TMIN-NORMAL,MLY-TMIN-PRBOCC-LSTH016,MLY-TMIN-PRBOCC-LSTH020,MLY-TMIN-PRBOCC-LSTH024,MLY-TMIN-PRBOCC-LSTH028,MLY-TMIN-PRBOCC-LSTH032,MLY-TMIN-PRBOCC-LSTH036,MLY-TMIN-STDDEV,MONTH
USC00456295,"PALMER 3 ESE, WA US",1,13.0,1.0,-7777.0,0.0,0.0,0.0,0.0,0.0,10.6,1.4,61.0,13.0,1.0,-7777.0,0.0,0.0,0.0,0.0,0.0,20.0,12.0,83.0,190.0,333.0,487.0,549.0,642.0,797.0,8.06,11.59,13.39,19.9,16.5,8.0,3.1,11.03,0.0,2.0,4.5,2.1,1.9,0.9,0.2,-7777.0,5.3,4.3,2.5,1.4,0.6,39.3,2.7,236.0,6.4,2.0,0.0,0.0,0.0,0.0,1.0,44.6,2.9,0.0,1.0,7.0,10.4,265.0,310.0,310.0,310.0,34.0,168.0,327.0,615.0,877.0,987.0,1000.0,2.8,Jan
USC00456295,"PALMER 3 ESE, WA US",2,23.0,3.0,-7777.0,-7777.0,0.0,0.0,0.0,0.0,13.7,1.7,78.0,23.0,3.0,-7777.0,-7777.0,0.0,0.0,0.0,0.0,35.0,24.0,57.0,142.0,262.0,399.0,455.0,539.0,679.0,5.41,7.01,10.0,17.1,12.5,5.5,1.8,7.74,0.0,0.3,5.5,1.6,1.4,0.5,0.1,-7777.0,3.4,2.9,1.6,1.0,0.5,40.7,3.1,245.0,10.0,12.0,0.0,0.0,0.0,0.0,0.3,47.6,3.4,-7777.0,1.0,9.0,10.0,232.0,279.0,280.0,280.0,33.9,132.0,275.0,515.0,800.0,963.0,1000.0,3.1,Feb
USC00456295,"PALMER 3 ESE, WA US",3,50.0,11.0,1.0,-7777.0,-7777.0,0.0,0.0,0.0,15.8,1.7,138.0,50.0,11.0,1.0,-7777.0,-7777.0,0.0,0.0,0.0,78.0,60.0,21.0,87.0,203.0,349.0,410.0,502.0,657.0,7.76,8.66,10.66,21.5,16.5,6.8,2.2,9.08,0.0,0.0,3.2,0.9,0.6,0.2,0.1,-7777.0,2.0,0.8,0.3,0.1,0.0,43.8,2.5,299.0,16.9,46.0,2.0,0.0,0.0,0.0,-7777.0,51.7,3.0,0.0,0.0,1.0,5.3,253.0,310.0,310.0,310.0,35.9,5.0,47.0,111.0,393.0,848.0,1000.0,2.1,Mar
USC00456295,"PALMER 3 ESE, WA US",4,108.0,40.0,12.0,7.0,3.0,-7777.0,0.0,-7777.0,18.3,2.0,227.0,108.0,40.0,12.0,7.0,3.0,-7777.0,-7777.0,0.0,136.0,111.0,4.0,34.0,117.0,239.0,293.0,379.0,527.0,5.85,7.61,8.67,19.6,14.8,5.5,1.4,7.37,0.0,0.0,0.5,0.4,0.3,0.0,0.0,0.0,0.4,0.2,0.0,0.0,0.0,47.4,2.1,299.0,23.3,89.0,26.0,3.0,0.0,0.0,0.0,56.6,2.6,0.0,0.0,0.0,1.2,203.0,297.0,300.0,300.0,38.3,0.0,0.0,5.0,123.0,571.0,978.0,2.0,Apr
USC00456295,"PALMER 3 ESE, WA US",5,255.0,130.0,56.0,38.0,19.0,1.0,-7777.0,5.0,19.3,2.6,406.0,255.0,130.0,56.0,38.0,19.0,5.0,1.0,-7777.0,235.0,201.0,-7777.0,4.0,34.0,115.0,159.0,233.0,374.0,4.95,6.43,8.0,17.9,12.8,4.5,1.5,6.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.1,2.2,310.0,29.7,165.0,69.0,15.0,0.1,0.0,0.0,62.7,3.1,0.0,0.0,0.0,-7777.0,76.0,282.0,310.0,310.0,43.5,0.0,0.0,0.0,0.0,83.0,610.0,2.0,May
USC00456295,"PALMER 3 ESE, WA US",6,384.0,237.0,115.0,80.0,45.0,3.0,1.0,14.0,19.5,2.6,534.0,384.0,237.0,115.0,80.0,45.0,14.0,3.0,1.0,315.0,273.0,0.0,-7777.0,3.0,31.0,56.0,111.0,230.0,3.3,5.49,7.39,14.8,10.5,4.0,1.1,5.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.8,2.4,300.0,29.9,237.0,112.0,34.0,0.4,0.0,0.0,67.6,3.4,0.0,0.0,0.0,0.0,4.0,219.0,299.0,300.0,48.0,0.0,0.0,0.0,0.0,0.0,36.0,1.8,Jun
USC00456295,"PALMER 3 ESE, WA US",7,553.0,398.0,246.0,190.0,118.0,10.0,5.0,41.0,21.9,3.3,708.0,553.0,398.0,246.0,190.0,118.0,41.0,10.0,5.0,459.0,403.0,0.0,0.0,-7777.0,3.0,9.0,30.0,108.0,1.23,2.12,3.57,9.0,5.1,1.5,0.6,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.9,2.4,310.0,31.0,298.0,195.0,80.0,1.2,0.0,0.0,73.8,3.7,0.0,0.0,0.0,0.0,-7777.0,94.0,305.0,310.0,51.9,0.0,0.0,0.0,0.0,0.0,0.0,1.7,Jul
USC00456295,"PALMER 3 ESE, WA US",8,573.0,418.0,265.0,206.0,130.0,9.0,5.0,46.0,22.2,2.2,728.0,573.0,418.0,265.0,206.0,130.0,46.0,9.0,5.0,479.0,423.0,0.0,0.0,0.0,1.0,5.0,22.0,92.0,1.28,1.92,3.41,7.8,4.7,1.7,0.7,2.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.5,1.5,310.0,31.0,302.0,213.0,89.0,0.8,0.0,0.0,74.6,2.2,0.0,0.0,0.0,0.0,-7777.0,81.0,304.0,310.0,52.4,0.0,0.0,0.0,0.0,0.0,0.0,1.4,Aug
USC00456295,"PALMER 3 ESE, WA US",9,417.0,270.0,142.0,102.0,57.0,3.0,1.0,15.0,20.6,2.4,567.0,417.0,270.0,142.0,102.0,57.0,15.0,3.0,1.0,350.0,305.0,0.0,-7777.0,3.0,25.0,45.0,90.0,198.0,2.56,4.28,5.75,11.1,7.7,3.3,0.9,3.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.9,2.2,300.0,29.9,258.0,131.0,37.0,0.2,0.0,0.0,69.2,2.9,0.0,0.0,0.0,-7777.0,11.0,178.0,298.0,300.0,48.6,0.0,0.0,0.0,0.0,4.0,79.0,1.9,Sep
USC00456295,"PALMER 3 ESE, WA US",10,189.0,81.0,25.0,15.0,5.0,-7777.0,-7777.0,-7777.0,16.2,2.0,333.0,189.0,81.0,25.0,15.0,5.0,-7777.0,-7777.0,-7777.0,175.0,143.0,1.0,12.0,59.0,159.0,210.0,294.0,444.0,5.35,6.93,9.36,16.2,12.3,5.2,2.0,7.29,0.0,0.0,0.0,-7777.0,-7777.0,0.0,0.0,0.0,-7777.0,-7777.0,0.0,0.0,0.0,50.7,1.9,309.0,28.4,118.0,27.0,3.0,0.0,0.0,0.0,58.8,2.4,0.0,0.0,0.0,0.6,97.0,288.0,310.0,310.0,42.6,0.0,0.0,0.0,36.0,323.0,815.0,1.8,Oct
